d1,d2,d3,x,y,z,value,label,label_clean,Model,ROI_model
24,66,50,-5.98974384367466,-5.00058108568192,1.22844864428043,-6.058,left Corpus Callosum and Associated Subcortical White Matter_left,left_corpus_callosum_and_associated_subcortical_white_matter_left,Lmod1_peaks,left_corpus_callosum_and_associated_subcortical_white_matter_left_Lmod1_peaks
67,163,51,1.0666666328907,10.9029067754745,1.39224174618721,-5.956,right Olfactory Bulb,right_olfactory_bulb,Lmod1_peaks,right_olfactory_bulb_Lmod1_peaks
72,34,50,1.88717947900295,-10.2470925450325,1.22844864428043,-5.846,right Granule Cell Level of the Cerebellum,right_granule_cell_level_of_the_cerebellum,Lmod1_peaks,right_granule_cell_level_of_the_cerebellum_Lmod1_peaks
71,70,42,1.7230769097805,-4.34476715326309,-0.0818961709737778,-4.92,right Brainstem,right_brainstem,Lmod1_peaks,right_brainstem_Lmod1_peaks
99,66,21,6.31794884800911,-5.00058108568192,-3.52155131101608,-4.899, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_8,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_8_Lmod1_peaks
100,30,34,6.48205141723156,-10.9029064774513,-1.39224098622799,-4.88,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_2,Lmod1_peaks,right_molecular_layer_of_the_cerebellum_2_Lmod1_peaks
85,123,60,4.02051287889481,4.34476745128632,2.8663796633482,-4.675,right Primary Somatosensory Cortex Jaw,right_primary_somatosensory_cortex_jaw,Lmod1_peaks,right_primary_somatosensory_cortex_jaw_Lmod1_peaks
46,115,74,-2.37948732078075,3.03313958644867,5.15948309004307,-4.611, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_9,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_9_Lmod1_peaks
77,103,74,2.7076923251152,1.0656977891922,5.15948309004307,-4.324, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_10,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_10_Lmod1_peaks
69,15,19,1.3948717713356,-13.3622087240219,-3.84913751482964,-4.227,right Brainstem,right_brainstem_2,Lmod1_peaks,right_brainstem_2_Lmod1_peaks
50,62,53,-1.72307704389095,-5.65639501810074,1.71982795000076,-4.172,left Deeper Layers of the Superior Colliculus_left,left_deeper_layers_of_the_superior_colliculus_left,Lmod1_peaks,left_deeper_layers_of_the_superior_colliculus_left_Lmod1_peaks
25,38,60,-5.82564127445221,-9.59127861261368,2.8663796633482,-3.738, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_11,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_11_Lmod1_peaks
