3.914253099420553772e-01,2.641329900986703061e-01,1.935771676769261762e-01,1.393990668199463767e-01,1.251364856606386466e-01,1.326372783110350284e-01
3.785064044040769016e-01,2.790424807612135738e-01,2.243940172126213384e-01,1.441694278655405170e-01,1.236900488551463534e-01,1.238874779853754021e-01
4.076832822440045190e-01,2.649418974672604898e-01,1.778620536592235568e-01,1.407583584995427961e-01,1.269376902889825798e-01,1.374863437805340094e-01
3.844724604955287450e-01,2.697832804806885032e-01,2.194373488027035468e-01,1.383812727564804612e-01,1.268943672829818681e-01,1.286019242412983488e-01
4.156978021288766922e-01,2.746580278835026312e-01,1.929373663823450991e-01,1.432355610625045683e-01,1.293816706715332499e-01,1.331486288590732203e-01
3.743050830049490796e-01,2.748230427423497546e-01,2.404635571483617340e-01,1.364001420443393953e-01,1.300493721130142888e-01,1.246218686014840676e-01
5.178823772826069982e-01,2.818478645956608020e-01,1.311526225976965276e-01,1.607221421275186468e-01,1.292865405931707679e-01,1.366683576370743836e-01
4.293502449972742552e-01,2.772519767317419559e-01,1.969438854123146398e-01,1.455692119938215290e-01,1.324904237212959635e-01,1.328362445010212445e-01
4.365887919504023995e-01,2.748739353310084010e-01,1.403362492633204728e-01,1.374134634463847759e-01,1.229722924224832398e-01,1.449633983704132767e-01
4.201684973684691182e-01,2.761650228500591719e-01,1.636163164086668342e-01,1.434620893893596150e-01,1.223472651534496525e-01,1.379831828475268640e-01
4.054555693065389210e-01,2.837023313478966302e-01,1.864145183955159268e-01,1.517147442583267336e-01,1.236882174518084410e-01,1.296206855347688258e-01
4.412039317091004387e-01,2.443605026054241902e-01,1.542210882547393191e-01,1.719260240201611056e-01,1.770323882675769733e-01,1.230815229863005261e-01
4.367880380063960954e-01,2.807782699907885871e-01,1.576017602246296834e-01,1.383262056650833016e-01,1.227283322033335955e-01,1.420493333274528702e-01
4.151741744070899243e-01,2.800413243702483124e-01,1.862771209432412534e-01,1.443631074664556979e-01,1.230278938638372510e-01,1.352116152731554222e-01
3.953760891204174399e-01,2.856006148895869345e-01,2.102086941653189545e-01,1.525384483719477713e-01,1.238265895091954782e-01,1.265408191414985062e-01
4.542113225831154733e-01,2.620430177971227459e-01,1.365509220906199750e-01,1.905469957508633960e-01,1.596862400643442315e-01,1.216339252863088000e-01
4.746879186120413485e-01,2.276767748410115644e-01,1.296374875736187038e-01,1.691133170443681055e-01,1.539976841203436753e-01,1.388398755276444019e-01
4.416135566581586014e-01,2.889814077455327701e-01,1.760981372937290845e-01,1.413446260148935874e-01,1.243110329769054612e-01,1.368844321501935801e-01
4.110550807934918449e-01,2.850362404303594110e-01,2.089329241744882770e-01,1.462973190653103772e-01,1.258647812018740819e-01,1.311571737674641358e-01
3.837277646782306095e-01,2.874228311097841715e-01,2.324838565706690285e-01,1.531295253624236907e-01,1.257925686936238185e-01,1.229587229030903173e-01
4.437738082221895364e-01,2.695970384964732069e-01,1.208345287224680681e-01,1.973578858826885440e-01,1.537387258317090832e-01,1.259233850677039523e-01
4.571745622276698895e-01,2.284013139627705247e-01,1.118698872666663569e-01,1.744773648950376232e-01,1.512727970710343317e-01,1.364105385653086311e-01
5.022324334497364484e-01,3.071439774729116112e-01,1.479685893593311874e-01,1.464906756890230755e-01,1.241378191531517794e-01,1.257960484108584798e-01
4.518354389428946849e-01,2.958156162772575537e-01,1.909499589997103453e-01,1.472059120072379823e-01,1.274963813681976310e-01,1.309448773574017344e-01
4.063480882675350458e-01,2.882314182753737408e-01,2.274080265592508532e-01,1.492075665109339477e-01,1.302832649613089311e-01,1.268272129146529592e-01
4.487980365739419608e-01,2.247269507201456185e-01,1.089116314568997212e-01,1.768147293379483120e-01,1.570424234118832363e-01,1.297869773332687715e-01
5.174554377275093486e-01,2.864414408806162937e-01,1.426433342079251043e-01,1.576310472863510503e-01,1.323348807867187893e-01,1.251454481500582361e-01
4.618394172880123105e-01,2.881453987142397200e-01,1.946928474128447328e-01,1.555577652953797629e-01,1.327101676271743302e-01,1.288669689594508783e-01
3.972587364852682157e-01,2.831100280022615379e-01,2.372078169116702551e-01,1.523683274092266504e-01,1.356253061911128210e-01,1.248718563923054831e-01
3.118515282686735168e-01,2.600975755668493705e-01,1.883695241768807427e-01,1.758815251376777689e-01,1.269120928026278572e-01,1.159048613055284893e-01
2.943469522090829127e-01,2.611711820297452635e-01,1.790442373758650840e-01,1.706146371669220174e-01,1.227052989437235619e-01,1.228873981854596703e-01
2.825149276223760664e-01,2.545522876782905786e-01,1.581927507445720082e-01,1.591906498116798796e-01,1.216510971569629146e-01,1.302299619468178793e-01
